step_ms,FL_hip,FL_knee,FR_hip,FR_knee,RL_hip,RL_knee,RR_hip,RR_knee
1120.00,0.899918,-1.209948,0.585414,-1.000000,0.727995,-1.108395,0.821043,-1.139461
1130.00,0.869918,-1.211676,0.615414,-1.000000,0.757995,-1.078395,0.818505,-1.140109
1140.00,0.839918,-1.198665,0.630749,-1.012743,0.787995,-1.062833,0.830628,-1.126061
1150.00,0.809918,-1.170878,0.631198,-1.040172,0.813534,-1.062112,0.857072,-1.097443
1160.00,0.793396,-1.140878,0.616771,-1.070172,0.824251,-1.076235,0.887072,-1.067443
1170.00,0.791700,-1.110878,0.587442,-1.100172,0.820046,-1.105209,0.917072,-1.037443
1180.00,0.804822,-1.080878,0.557442,-1.118200,0.800923,-1.135209,0.939198,-1.016412
1190.00,0.832714,-1.064473,0.527442,-1.121405,0.770923,-1.165209,0.946603,-1.009862
1200.00,0.862714,-1.062541,0.509205,-1.109873,0.740923,-1.180941,0.939226,-1.017828
1210.00,0.892714,-1.075226,0.505540,-1.083570,0.710923,-1.181898,0.917084,-1.040325
1220.00,0.910983,-1.102421,0.516630,-1.053570,0.695185,-1.168172,0.887084,-1.070325
1230.00,0.914439,-1.132421,0.542125,-1.023570,0.694173,-1.140102,0.857085,-1.100325
1240.00,0.903077,-1.162421,0.572125,-1.000000,0.707703,-1.110102,0.827085,-1.123533
1250.00,0.876951,-1.178025,0.602125,-1.000000,0.735873,-1.080102,0.810963,-1.132004
1260.00,0.846951,-1.178824,0.624752,-1.000000,0.765873,-1.059523,0.809511,-1.125632
1270.00,0.816951,-1.164840,0.632543,-1.013787,0.795873,-1.053767,0.822724,-1.104511
1280.00,0.786951,-1.136058,0.625463,-1.042350,0.815323,-1.062873,0.850197,-1.074511
1290.00,0.771573,-1.106058,0.603546,-1.072350,0.819889,-1.086775,0.880197,-1.044511
1300.00,0.771011,-1.076058,0.573546,-1.102350,0.809583,-1.116775,0.910197,-1.014511
1310.00,0.785213,-1.053025,0.543546,-1.117922,0.784369,-1.146775,0.926765,-1.000000
1320.00,0.814016,-1.044226,0.513546,-1.118682,0.754369,-1.169989,0.928524,-1.000000
1330.00,0.844016,-1.050131,0.497605,-1.104688,0.724369,-1.178636,0.915454,-1.012589
1340.00,0.874016,-1.070782,0.496407,-1.075946,0.694369,-1.172561,0.887623,-1.039681
1350.00,0.889871,-1.100782,0.509970,-1.045946,0.679011,-1.152032,0.857623,-1.069681
1360.00,0.890844,-1.130782,0.538038,-1.015946,0.678437,-1.122032,0.827623,-1.099681
1370.00,0.876953,-1.159482,0.568038,-1.000000,0.692501,-1.092032,0.800941,-1.119315
1380.00,0.848289,-1.173815,0.598038,-1.000000,0.721045,-1.062032,0.788272,-1.124268
1390.00,0.818289,-1.173461,0.614741,-1.000000,0.751045,-1.044839,0.790094,-1.114535
1400.00,0.788289,-1.158324,0.616589,-1.013417,0.781045,-1.042461,0.806487,-1.090169
1410.00,0.760146,-1.128401,0.603589,-1.041627,0.797788,-1.054925,0.836487,-1.060169
1420.00,0.746759,-1.098401,0.575792,-1.071627,0.799633,-1.082134,0.866487,-1.030169
1430.00,0.748218,-1.068401,0.545792,-1.101627,0.786618,-1.112134,0.896487,-1.000169
1440.00,0.764518,-1.049705,0.515792,-1.116996,0.758708,-1.142134,0.912191,-1.000000
1450.00,0.794518,-1.045715,0.487469,-1.117537,0.728708,-1.162941,0.913011,-1.000000
1460.00,0.824518,-1.056481,0.473558,-1.103336,0.698708,-1.169246,0.899024,-1.013645
1470.00,0.854518,-1.081965,0.474440,-1.074455,0.673369,-1.160908,0.870258,-1.041765
1480.00,0.870008,-1.111965,0.490060,-1.044455,0.662796,-1.138147,0.840258,-1.071765
1490.00,0.870578,-1.141965,0.519993,-1.014455,0.667015,-1.108147,0.810258,-1.101765
1500.00,0.856268,-1.164098,0.549993,-1.000000,0.685962,-1.078147,0.788453,-1.119252
1510.00,0.827232,-1.171712,0.579993,-1.000000,0.715962,-1.048147,0.780750,-1.122033
1520.00,0.797232,-1.164602,0.595725,-1.006904,0.745962,-1.032183,0.787640,-1.110152
1530.00,0.767232,-1.142695,0.596570,-1.028510,0.775962,-1.031078,0.809028,-1.083696
1540.00,0.748169,-1.112695,0.582574,-1.058510,0.791364,-1.044817,0.839028,-1.053696
1550.00,0.743916,-1.082695,0.553732,-1.088510,0.791869,-1.073357,0.869028,-1.023696
1560.00,0.754488,-1.052695,0.523732,-1.115360,0.777503,-1.103357,0.899028,-1.000000
1570.00,0.779904,-1.035662,0.493732,-1.127429,0.748227,-1.133357,0.914513,-1.000000
1580.00,0.809904,-1.033325,0.472418,-1.124686,0.718227,-1.151243,0.915161,-1.001940
1590.00,0.839904,-1.045820,0.465710,-1.107135,0.688227,-1.154532,0.900978,-1.018641
1600.00,0.869904,-1.073025,0.473791,-1.077135,0.666185,-1.143222,0.872018,-1.048641
1610.00,0.885352,-1.103025,0.496440,-1.047135,0.658849,-1.117695,0.842018,-1.078641
1620.00,0.885910,-1.133025,0.526440,-1.017135,0.666238,-1.087695,0.812018,-1.108641
1630.00,0.871571,-1.150883,0.556440,-1.000384,0.688449,-1.057695,0.794489,-1.124632
1640.00,0.842482,-1.154111,0.586440,-1.000000,0.718449,-1.027695,0.791297,-1.125852
1650.00,0.812482,-1.142629,0.601901,-1.012463,0.748449,-1.011901,0.802735,-1.112424
1660.00,0.782482,-1.116367,0.602479,-1.039600,0.774565,-1.010944,0.828510,-1.084467
1670.00,0.766292,-1.086367,0.588195,-1.069600,0.785849,-1.024836,0.858510,-1.054467
1680.00,0.764945,-1.056367,0.559031,-1.099600,0.782243,-1.053569,0.888510,-1.024467
1690.00,0.778437,-1.026367,0.529031,-1.119008,0.763746,-1.083569,0.910668,-1.003963
1700.00,0.806709,-1.010366,0.499031,-1.123580,0.733746,-1.113569,0.918059,-1.000000
1710.00,0.836709,-1.008919,0.480800,-1.113408,0.703746,-1.129520,0.910661,-1.008721
1720.00,0.866709,-1.022183,0.477171,-1.088452,0.673746,-1.130738,0.888475,-1.032061
1730.00,0.885267,-1.049979,0.488319,-1.058452,0.658101,-1.117290,0.858475,-1.062061
1740.00,0.889006,-1.079979,0.513945,-1.028452,0.657240,-1.089417,0.828475,-1.092061
1750.00,0.877957,-1.109979,0.543945,-1.000000,0.671027,-1.059417,0.798475,-1.115180
1760.00,0.852129,-1.125746,0.573945,-1.000000,0.699492,-1.029417,0.782124,-1.123653
1770.00,0.822129,-1.126777,0.597308,-1.000000,0.729492,-1.007741,0.780354,-1.117327
1780.00,0.792129,-1.113065,0.605847,-1.013576,0.759492,-1.000853,0.793208,-1.096308
1790.00,0.762129,-1.084571,0.599519,-1.041973,0.777899,-1.008823,0.820282,-1.066308
1800.00,0.746682,-1.054571,0.578366,-1.071973,0.781432,-1.031585,0.850282,-1.036308
1810.00,0.746058,-1.024571,0.548366,-1.101973,0.770147,-1.061585,0.880282,-1.006308
1820.00,0.760252,-1.003470,0.518366,-1.117592,0.743986,-1.091585,0.896508,-1.000000
1830.00,0.789151,-1.000000,0.488366,-1.118390,0.713986,-1.115765,0.897868,-1.000000
1840.00,0.819151,-1.008261,0.472663,-1.104418,0.683986,-1.125409,0.884385,-1.013201
1850.00,0.849151,-1.031276,0.471758,-1.075705,0.657860,-1.120321,0.856089,-1.041021
1860.00,0.865087,-1.061276,0.485615,-1.045705,0.646439,-1.100785,0.826089,-1.071021
1870.00,0.866147,-1.091276,0.513874,-1.015705,0.649792,-1.070785,0.796089,-1.101021
1880.00,0.852359,-1.113788,0.543874,-1.000000,0.667891,-1.040785,0.773546,-1.118355
1890.00,0.823817,-1.121837,0.573874,-1.000000,0.697891,-1.010785,0.765225,-1.120940
1900.00,0.793818,-1.115199,0.589894,-1.005358,0.727891,-1.000000,0.771515,-1.108862
1910.00,0.763818,-1.093773,0.591040,-1.025359,0.757891,-1.000000,0.792307,-1.082229
1920.00,0.744765,-1.063773,0.577337,-1.055359,0.773266,-1.013513,0.822307,-1.052230
1930.00,0.740512,-1.033773,0.548804,-1.085359,0.773748,-1.041814,0.852306,-1.022230
1940.00,0.751069,-1.003773,0.518804,-1.112415,0.759379,-1.071814,0.882306,-1.000000
1950.00,0.776470,-1.000000,0.488804,-1.124656,0.730096,-1.101814,0.897668,-1.000000
1960.00,0.806470,-1.000000,0.468786,-1.122081,0.700096,-1.119829,0.898190,-1.001855
1970.00,0.836470,-1.013108,0.463379,-1.104704,0.670096,-1.123358,0.883863,-1.018437
1980.00,0.866470,-1.040926,0.472763,-1.074704,0.650975,-1.112351,0.854734,-1.048437
1990.00,0.881832,-1.070926,0.496654,-1.044704,0.646592,-1.087140,0.824735,-1.078437
2000.00,0.882309,-1.100926,0.526654,-1.014704,0.656876,-1.057140,0.794735,-1.108437
2010.00,0.867882,-1.118239,0.556654,-1.000000,0.681969,-1.027140,0.778068,-1.124144
2020.00,0.838659,-1.120932,0.586654,-1.000000,0.711969,-1.000000,0.775956,-1.125026
2030.00,0.808659,-1.108916,0.602048,-1.013071,0.741969,-1.000000,0.788503,-1.111251
2040.00,0.778659,-1.082092,0.602573,-1.040698,0.765168,-1.000000,0.815414,-1.082984
2050.00,0.763107,-1.052092,0.588249,-1.070698,0.773504,-1.014032,0.845414,-1.052984
2060.00,0.762407,-1.022092,0.559050,-1.100698,0.766996,-1.042915,0.875414,-1.022984
2070.00,0.776530,-1.000000,0.529050,-1.117411,0.745605,-1.072915,0.894410,-1.004626
2080.00,0.805369,-1.000000,0.499050,-1.119295,0.715605,-1.102915,0.898638,-1.000888
2090.00,0.835369,-1.000693,0.482712,-1.106394,0.685605,-1.118527,0.887990,-1.011858
2100.00,0.865369,-1.016213,0.481131,-1.078684,0.655605,-1.119377,0.862489,-1.037565
2110.00,0.882979,-1.046213,0.494314,-1.048684,0.640083,-1.105667,0.832489,-1.067565
2120.00,0.885767,-1.076213,0.521881,-1.018684,0.639334,-1.077661,0.802489,-1.097565
2130.00,0.873809,-1.102621,0.551881,-1.000000,0.653293,-1.047661,0.774015,-1.117649
2140.00,0.847096,-1.114511,0.581881,-1.000000,0.681968,-1.017661,0.759846,-1.122962
2150.00,0.817096,-1.111697,0.599786,-1.000000,0.711968,-1.000000,0.760302,-1.113553
2160.00,0.787096,-1.094115,0.602833,-1.014211,0.741968,-1.000000,0.775393,-1.089497
2170.00,0.759445,-1.064115,0.591040,-1.043246,0.758239,-1.011644,0.804630,-1.059497
2180.00,0.746553,-1.034115,0.564450,-1.073246,0.759621,-1.038033,0.834630,-1.029497
2190.00,0.748494,-1.004115,0.534450,-1.103246,0.746187,-1.068033,0.864630,-1.000000
2200.00,0.765263,-1.000000,0.504450,-1.118536,0.717866,-1.098033,0.880054,-1.000000
2210.00,0.795263,-1.000000,0.479191,-1.118989,0.687866,-1.118345,0.880587,-1.000000
2220.00,0.825263,-1.012514,0.468444,-1.104663,0.657866,-1.124231,0.866259,-1.014101
2230.00,0.855263,-1.039733,0.472484,-1.075709,0.636573,-1.115577,0.837120,-1.042623
2240.00,0.870646,-1.069733,0.491147,-1.045709,0.630043,-1.092653,0.807120,-1.072623
2250.00,0.871123,-1.099733,0.521147,-1.015709,0.638269,-1.062653,0.777120,-1.102623
2260.00,0.856697,-1.118682,0.551147,-1.000000,0.661315,-1.032653,0.759446,-1.118714
2270.00,0.827494,-1.123053,0.581147,-1.000000,0.691315,-1.002653,0.756239,-1.120001
2280.00,0.797494,-1.112731,0.596615,-1.011778,0.721315,-1.000000,0.767656,-1.106653
2290.00,0.767494,-1.087608,0.597210,-1.038148,0.747834,-1.000000,0.793433,-1.078815
2300.00,0.751486,-1.057608,0.582973,-1.068148,0.759548,-1.013891,0.823433,-1.048815
2310.00,0.750315,-1.027608,0.553868,-1.098148,0.756392,-1.042635,0.853433,-1.018815
2320.00,0.763959,-1.000000,0.523868,-1.117747,0.738340,-1.072635,0.876758,-1.000000
2330.00,0.792391,-1.000000,0.493868,-1.122500,0.708340,-1.102635,0.885349,-1.000000
2340.00,0.822391,-1.000000,0.476892,-1.112489,0.678340,-1.118592,0.879111,-1.008636
2350.00,0.852391,-1.013427,0.474646,-1.087676,0.648340,-1.119862,0.858034,-1.032001
2360.00,0.872188,-1.041473,0.487164,-1.057676,0.632470,-1.106610,0.828034,-1.062001
2370.00,0.877219,-1.071473,0.514089,-1.027676,0.631354,-1.079108,0.798034,-1.092001
2380.00,0.867451,-1.101473,0.544089,-1.000000,0.644920,-1.049108,0.768034,-1.115037
2390.00,0.842842,-1.117011,0.574089,-1.000000,0.673315,-1.019108,0.752424,-1.123287
2400.00,0.812842,-1.117747,0.597485,-1.000000,0.703315,-1.000000,0.751541,-1.116692
2410.00,0.782842,-1.103705,0.606059,-1.014071,0.733315,-1.000000,0.765337,-1.095427
2420.00,0.752842,-1.074876,0.599783,-1.042758,0.751029,-1.007662,0.793296,-1.065427
2430.00,0.737524,-1.044876,0.578669,-1.072757,0.753860,-1.030144,0.823296,-1.035427
2440.00,0.737025,-1.014876,0.548670,-1.102757,0.741838,-1.060144,0.853296,-1.005427
2450.00,0.751339,-1.000000,0.518670,-1.118267,0.714932,-1.090144,0.869349,-1.000000
2460.00,0.780345,-1.000000,0.488670,-1.118966,0.684932,-1.113152,0.870504,-1.000000
2470.00,0.810345,-1.009542,0.473107,-1.104897,0.654932,-1.121632,0.856828,-1.013484
